Date,Price
March 29 - 2018 at 06:00PM,$7429.29
March 30 - 2018 at 05:59PM,$6774.65
March 31 - 2018 at 05:59PM,$7058.00
April 1 - 2018 at 05:59PM,$6459.00
April 2 - 2018 at 06:00PM,$7023.52
April 3 - 2018 at 05:59PM,$7390.00
April 4 - 2018 at 06:00PM,$6779.18
April 5 - 2018 at 06:00PM,$6743.78
April 6 - 2018 at 06:00PM,$6594.57
April 7 - 2018 at 05:59PM,$7006.01
April 8 - 2018 at 06:00PM,$7044.73
April 9 - 2018 at 06:00PM,$6724.01
April 10 - 2018 at 06:00PM,$6822.61
April 11 - 2018 at 06:00PM,$6930.00
April 12 - 2018 at 05:59PM,$7600.50
April 13 - 2018 at 05:59PM,$8131.63
April 14 - 2018 at 05:59PM,$7965.11
April 15 - 2018 at 06:00PM,$8281.01
April 16 - 2018 at 06:00PM,$7975.00
April 17 - 2018 at 06:00PM,$8089.00
April 18 - 2018 at 05:59PM,$8008.98
April 19 - 2018 at 06:00PM,$8219.00
April 20 - 2018 at 05:59PM,$8476.02
April 21 - 2018 at 05:59PM,$8817.00
April 22 - 2018 at 06:00PM,$8931.01
April 23 - 2018 at 05:59PM,$8905.90
April 24 - 2018 at 06:00PM,$9350.12
April 25 - 2018 at 05:59PM,$8939.43
April 26 - 2018 at 06:00PM,$8799.72
April 27 - 2018 at 05:59PM,$9225.00
April 28 - 2018 at 05:59PM,$9336.00
April 29 - 2018 at 06:00PM,$9325.01
April 30 - 2018 at 05:59PM,$9275.00
May 1 - 2018 at 05:59PM,$8913.38
May 2 - 2018 at 06:00PM,$9134.00
May 3 - 2018 at 05:59PM,$9389.00
May 4 - 2018 at 05:59PM,$9591.00
May 5 - 2018 at 06:00PM,$9889.01
May 6 - 2018 at 05:59PM,$9460.43
May 7 - 2018 at 05:59PM,$9320.58
May 8 - 2018 at 06:00PM,$9172.76
May 9 - 2018 at 06:00PM,$9279.06
May 10 - 2018 at 05:59PM,$9319.60
May 11 - 2018 at 05:59PM,$8576.09
May 12 - 2018 at 06:00PM,$8364.01
May 13 - 2018 at 05:59PM,$8619.44
May 14 - 2018 at 05:59PM,$8782.01
May 15 - 2018 at 05:59PM,$8529.86
May 16 - 2018 at 06:00PM,$8280.01
May 17 - 2018 at 06:00PM,$8299.01
May 18 - 2018 at 06:00PM,$8111.00
May 19 - 2018 at 06:00PM,$8319.24
May 20 - 2018 at 06:00PM,$8373.79
May 21 - 2018 at 05:59PM,$8404.00
May 22 - 2018 at 05:59PM,$8230.36
May 23 - 2018 at 05:59PM,$7717.01
May 24 - 2018 at 05:59PM,$7567.58
May 25 - 2018 at 05:59PM,$7496.01
May 26 - 2018 at 06:00PM,$7535.43
May 27 - 2018 at 06:00PM,$7337.18
May 28 - 2018 at 05:59PM,$7225.79
May 29 - 2018 at 06:00PM,$7425.00
May 30 - 2018 at 05:59PM,$7325.21
May 31 - 2018 at 05:59PM,$7552.29
June 1 - 2018 at 05:59PM,$7438.81
June 2 - 2018 at 05:59PM,$7618.02
June 3 - 2018 at 06:00PM,$7724.86
June 4 - 2018 at 06:00PM,$7496.18
June 5 - 2018 at 05:59PM,$7513.89
June 6 - 2018 at 05:59PM,$7655.00
June 7 - 2018 at 06:00PM,$7683.85
June 8 - 2018 at 06:00PM,$7630.35
June 9 - 2018 at 06:00PM,$7617.70
June 10 - 2018 at 06:00PM,$7237.00
June 11 - 2018 at 06:00PM,$6711.69
